Symbol  ,Date,Expiry,Option type  ,Strike Price,Open  ,High  ,Low  ,Close  ,LTP,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value
NIFTY,13-Jun-22,28-Dec-23,CE,18000,900.05,1189.95,900.05,1050,1050,1050,3,28.57,1.57,4675,100,15774.4
NIFTY,14-Jun-22,28-Dec-23,CE,18000,1148,1148,1029.25,1029.25,1029.25,1029.25,4,38.21,2.21,4825,150,15732.1
NIFTY,15-Jun-22,28-Dec-23,CE,18000,1035,1035,1035,1035,1035,1424.5,1,9.52,0.52,4875,50,15692.15
NIFTY,16-Jun-22,28-Dec-23,CE,18000,1070,1070,950,950,950,1277.8,2,19.01,1.01,4925,50,15360.6
NIFTY,17-Jun-22,28-Dec-23,CE,18000,910,950,860.05,860.05,860.05,860.05,13,122.87,5.87,5225,300,15293.5
NIFTY,20-Jun-22,28-Dec-23,CE,18000,810,882.4,810,850,850,850,7,65.97,2.97,5225,-,15350.15
NIFTY,21-Jun-22,28-Dec-23,CE,18000,930,975,930,930,930,1393.2,16,151.62,7.62,5375,150,15638.8
NIFTY,22-Jun-22,28-Dec-23,CE,18000,911,917,911,911,911,1288.2,4,37.83,1.83,5375,-,15413.3
NIFTY,23-Jun-22,28-Dec-23,CE,18000,978.7,979.45,900,900,900,1349.9,5,47.41,2.41,5475,100,15556.65
NIFTY,24-Jun-22,28-Dec-23,CE,18000,1000,1000,980,980,980,1413,4,37.98,1.98,5525,50,15699.25
NIFTY,27-Jun-22,28-Dec-23,CE,18000,943.4,1050,943.35,1050,1050,1467.1,4,37.99,1.99,5425,-100,15832.05
NIFTY,28-Jun-22,28-Dec-23,CE,18000,990.1,999.5,990.1,999.25,999.5,999.25,3,28.49,1.49,5525,100,15850.2
NIFTY,29-Jun-22,28-Dec-23,CE,18000,950,950,950,950,950,1438.5,1,9.47,0.47,5575,50,15799.1
NIFTY,30-Jun-22,28-Dec-23,CE,18000,980,995,978,985,985,985,11,104.42,5.42,5675,100,15780.25
NIFTY,01-Jul-22,28-Dec-23,CE,18000,940,940,940,940,940,1403.35,1,9.47,0.47,5625,-50,15752.05
NIFTY,05-Jul-22,28-Dec-23,CE,18000,1010,1010,950,950,950,1414.9,3,28.48,1.49,5725,100,15810.85
NIFTY,07-Jul-22,28-Dec-23,CE,18000,1070,1149.95,1070,1149.95,1149.95,1149.95,3,28.66,1.66,5675,-50,16132.9
NIFTY,08-Jul-22,28-Dec-23,CE,18000,1150,1160,1150,1160,1160,1605.3,2,19.16,1.16,5725,50,16220.6
NIFTY,11-Jul-22,28-Dec-23,CE,18000,1086.4,1086.4,1086.4,1086.4,1086.4,1591.1,1,9.54,0.54,5675,-50,16216
NIFTY,13-Jul-22,28-Dec-23,CE,18000,1050,1050,991,991,991,1455.05,2,19.02,1.02,5725,50,15966.65
NIFTY,14-Jul-22,28-Dec-23,CE,18000,1000,1000,985,985,985,1435.8,2,18.99,0.99,5725,-,15938.65
NIFTY,15-Jul-22,28-Dec-23,CE,18000,1000,1000,1000,1000,1000,1000,1,9.5,0.5,5725,-,16049.2
NIFTY,18-Jul-22,28-Dec-23,CE,18000,1000,1010,1000,1010,1010,1595.9,2,19,1,5775,50,16278.5
NIFTY,19-Jul-22,28-Dec-23,CE,18000,1050,1050,1050,1050,1050,1622.65,1,9.53,0.53,5775,-,16340.55
